Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loading Abp modules... | AbpModuleManager.LoadAllModules => CastleNlogLogger.Debug => NLogLogger.Debug |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Found 17 ABP modules in total. | AbpModuleManager.LoadAllModules => CastleNlogLogger.Debug => NLogLogger.Debug |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.web.App_Start.WebModule, com.cpp.calypso.web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.comun.entityframework.ComunEntityFrameworkModule, com.cpp.calypso.comun.entityframework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.comun.dominio.ComunDominioModule, com.cpp.calypso.comun.dominio, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: Abp.AbpKernelModule, Abp, Version=3.6.1.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.framework.FrameworkModule, com.cpp.calypso.framework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=3.6.1.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=3.6.1.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.seguridad.entityframework.SeguridadEntityFrameworkModule, com.cpp.calypso.entityframework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 17/01/2019 22:45:14:4514 | 1 | Abp.Modules.AbpModuleManager             | Loaded module: com.cpp.calypso.proyecto.entityframework.ProyectoEntityFrameworkModule, com.cpp.calypso.proyecto.entityframework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | AbpModuleManager.CreateModules => CastleNlogLogger.DebugFormat => NLogLogger.DebugFormat |  | !
