Error | notauth:: | 02/05/2019 10:06:23:623 | 22 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Method arguments are not valid! See ValidationErrors for details. | !
Error | notauth:: | 02/05/2019 10:07:59:759 | 22 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Method arguments are not valid! See ValidationErrors for details. | !
Error | notauth:: | 02/05/2019 10:08:19:819 | 30 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Method arguments are not valid! See ValidationErrors for details. | !
Error | notauth:: | 02/05/2019 10:10:14:1014 | 33 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Method arguments are not valid! See ValidationErrors for details. | !
Error | notauth:: | 02/05/2019 10:10:14:1014 | 29 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Method arguments are not valid! See ValidationErrors for details. | !
Error | notauth:: | 02/05/2019 10:12:26:1226 | 33 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Usuario ó Clave incorrecta | !
Error | notauth:: | 02/05/2019 10:12:26:1226 | 32 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Usuario ó Clave incorrecta | !
Error | notauth:: | 02/05/2019 10:14:45:1445 | 45 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Usuario ó Clave incorrecta | !
Error | notauth:: | 02/05/2019 10:14:45:1445 | 32 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | Usuario ó Clave incorrecta | !
Error | notauth:: | 02/05/2019 17:34:12:3412 | 8 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | An error occurred while updating the entries. See the inner exception for details. | !
Error | notauth:: | 02/05/2019 17:34:59:3459 | 8 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | An error occurred while updating the entries. See the inner exception for details. | !
Error | notauth:: | 02/05/2019 17:36:30:3630 | 10 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | An error occurred while updating the entries. See the inner exception for details. | !
Error | notauth:: | 02/05/2019 17:38:23:3823 | 12 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | An error occurred while updating the entries. See the inner exception for details. | !
Error | notauth:: | 02/05/2019 17:47:01:471 | 37 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | HandleAbpExceptionEventHandler.HandleEvent => ManejadorExcepciones.HandleException => NLogLogger.Error | An error occurred while updating the entries. See the inner exception for details. | !
