Debug | notauth:: | 30/01/2019 08:28:41:2841 | 13 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:28:42:2842 | 13 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:29:38:2938 | 19 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:31:29:3129 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:31:29:3129 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:14:3614 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:18:3618 | 16 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:18:3618 | 16 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:37:3637 | 16 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:37:3637 | 16 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:51:3651 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:36:51:3651 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 08:51:59:5159 | 20 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:56:00:560 | 39 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 08:56:01:561 | 39 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:07:56:756 | 6 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:07:57:757 | 6 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 09:08:32:832 | 13 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:09:18:918 | 23 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:09:18:918 | 23 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:09:21:921 | 21 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:09:21:921 | 21 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:25:35:2535 | 6 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:25:35:2535 | 6 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:26:29:2629 | 8 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:26:29:2629 | 8 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 09:26:42:2642 | 19 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:59:21:5921 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:59:21:5921 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 09:59:22:5922 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 09:59:45:5945 | 5 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | No se encuentra autentificado | !
Error | notauth:: | 30/01/2019 09:59:47:5947 | 5 | com.cpp.calypso.webapi.Controllers.TokenController | No se encuentra autentificado | MoveNextRunner.InvokeMoveNext => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:00:14:014 | 36 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:00:14:014 | 36 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:00:14:014 | 36 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 10:00:14:014 | 36 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | Object reference not set to an instance of an object. | !
Error | notauth:: | 30/01/2019 10:00:14:014 | 36 | com.cpp.calypso.webapi.Controllers.TokenController | Existe un inconveniente, vuelva a intentar más tarde | AsyncTaskMethodBuilder`1.Start => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 10:01:28:128 | 5 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | Object reference not set to an instance of an object. | !
Error | notauth:: | 30/01/2019 10:01:28:128 | 5 | com.cpp.calypso.webapi.Controllers.TokenController | Existe un inconveniente, vuelva a intentar más tarde | AsyncTaskMethodBuilder`1.Start => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 10:02:21:221 | 6 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | No se encuentra autentificado | !
Error | notauth:: | 30/01/2019 10:02:21:221 | 6 | com.cpp.calypso.webapi.Controllers.TokenController | No se encuentra autentificado | MoveNextRunner.InvokeMoveNext => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
